Sample ID,Date,Common,Species,Fish #,Method,Site,Time capture,Fyke_Num,Wet mass (g),Total L (cm),Fork L (cm),Sex,Gut content,Gut fullness (1-5),Liver mass (g),Gonad mass (g),Tags,Tag ID VEMCO,Tag ID FLOY,MK10 ID,Surgeon,Assistant,Time under,Tag activated,Surgery start,Surgery done,Surgery time,Recovered,Released,Recovery time,Total handling time,lat,long,Waypoint,Net set,Total captured,Fin clip,Muscle,Liver,Whole,Pics,Subsistence,Notes
S145,4/9/2017,Slimy sculpin,Cottus cognatus cognatus ,146,Fyke net,fyke 1,6:00,10,66.2,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Released
S138,4/9/2017,Slimy sculpin,Cottus cognatus cognatus ,175,Fyke net,fyke 1,6:00,10,75.4,18.5,,,,,,,V5,8986/1271525,,,,,,,,,,,,,,,,,,,,,,,Y,,*Duplicated number. Tagged. Released.
S147,4/9/2017,Slimy sculpin,Cottus cognatus cognatus ,147,Fyke net,fyke 1,6:00,10,76.5,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Released
FH316,4/9/2017,Four horn sculpin,Myoxocephalus quadricornis,324,Fyke net,Fyke 1,6:00,10,92.1,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S136,4/9/2017,Slimy sculpin,Cottus cognatus cognatus ,174,Fyke net,Fyke 1,6:00,10,93.7,18.1,,,,,,,V5,9003/1271526,,,,,,,,,,,,,,,,,,,,,,,Y,,*Duplicated number. Tagged. Released.
FH321,4/9/2017,Four horn sculpin,Myoxocephalus quadricornis,329,Fyke net,Fyke 1,6:00,10,111.7,21.9,,,,,,,V5,9006/1271527,,,Bob,Erin,7:25,,7:28,7:34,6,,7:44,,,,,,,,,,,,,,Tagged
FH320,4/9/2017,Four horn sculpin,Myoxocephalus quadricornis,328,Fyke net,Fyke 1,6:00,10,171.6,26.3,,,,,,,V5,9019/1271528,,,Bob,Erin,7:12,,7:16,7:23,7,,7:35,,,,,,,,,,,,,,Tagged
FH92,5/8/2017,Four horn sculpin,Myoxocephalus quadricornis,92,Fyke net,Fyke 3,9:00,12,0.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH91,5/8/2017,Four horn sculpin,Myoxocephalus quadricornis,91,Fyke net,Fyke 3,9:00,12,1,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,y,,,,"Not complete dissection, no diet data"
FH93,5/8/2017,Four horn sculpin,Myoxocephalus quadricornis,93,Fyke net,Fyke 3,9:00,12,5.9,9.4,,,1 Gammarus or Onisimus,3,0.2,< 0.1,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,,,
FH90,5/8/2017,Four horn sculpin,Myoxocephalus quadricornis,90,Fyke net,Fyke 3,9:00,12,43.7,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,pics on Narwhal cam
FH94,5/8/2017,Four horn sculpin,Myoxocephalus quadricornis,94,Fyke net,Fyke 3,9:00,12,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,Y,,
S146,5/9/2017,Slimy sculpin,Cottus cognatus cognatus ,179,Fyke net,fyke 1,7:15,13,36.8,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,*Duplicated number.Released
S148,5/9/2017,Slimy sculpin,Cottus cognatus cognatus ,180,Fyke net,fyke 1,7:15,13,42.8,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,*Duplicated number.Released
FH324,5/9/2017,Four horn sculpin,Myoxocephalus quadricornis,332,Fyke net,Fyke 1,7:15,13,51.2,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Released
S144,5/9/2017,Slimy sculpin,Cottus cognatus cognatus ,178,Fyke net,fyke 1,7:15,13,55.5,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,*Duplicated number.Released
FH323,5/9/2017,Four horn sculpin,Myoxocephalus quadricornis,331,Fyke net,Fyke 1,7:15,13,61.3,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Released
S142,5/9/2017,Slimy sculpin,Cottus cognatus cognatus ,177,Fyke net,fyke 1,7:15,13,64,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,*Duplicated number.Released
FH327,5/9/2017,Four horn sculpin,Myoxocephalus quadricornis,335,Fyke net,Fyke 1,7:15,13,107.7,22.4,,,,,,,V5,9132/1271532,,,Bob,Erin,8:05,,8:09,8:15,6,,8:33,,,,,,,,,,,,,,Tagged. Released.
FH326,5/9/2017,Four horn sculpin,Myoxocephalus quadricornis,334,Fyke net,Fyke 1,7:15,13,125.8,22.9,,,,,,,V5,9144/1271533,,,Bob,Erin,7:56,,7:59,8:05,6,,8:17,,,,,,,,,,,,,,Tagged. Released.
FH325,5/9/2017,Four horn sculpin,Myoxocephalus quadricornis,333,Fyke net,Fyke 1,7:15,13,135.4,23.6,,,,,,,V5,9192/1271538,,,Bob,Erin,7:46,,7:50,7:56,6,,8:17,,,,,,,,,,,,,,Tagged. Released.
FH99,6/8/2017,Four horn sculpin,Myoxocephalus quadricornis,99,Fyke net,Fyke 3,9:00,14,27.3,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH95,6/8/2017,Four horn sculpin,Myoxocephalus quadricornis,95,Fyke net,Fyke 3,9:00,14,30.5,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH102,6/8/2017,Four horn sculpin,Myoxocephalus quadricornis,102,Fyke net,Fyke 3,9:00,14,62.8,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH100,6/8/2017,Four horn sculpin,Myoxocephalus quadricornis,100,Fyke net,Fyke 3,9:00,14,74,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH96,6/8/2017,Four horn sculpin,Myoxocephalus quadricornis,96,Fyke net,Fyke 3,9:00,14,93.7,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH103,6/8/2017,Four horn sculpin,Myoxocephalus quadricornis,103,Fyke net,Fyke 3,9:00,14,94,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH101,6/8/2017,Four horn sculpin,Myoxocephalus quadricornis,101,Fyke net,Fyke 3,9:00,14,94.7,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH97,6/8/2017,Four horn sculpin,Myoxocephalus quadricornis,97,Fyke net,Fyke 3,9:00,14,113.7,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH98,6/8/2017,Four horn sculpin,Myoxocephalus quadricornis,98,Fyke net,Fyke 3,9:00,14,117.8,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH104,6/8/2017,Four horn sculpin,Myoxocephalus quadricornis,104,Fyke net,Fyke 3,9:00,14,194.4,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH333,6/9/2017,Four horn sculpin,Myoxocephalus quadricornis,341,Fyke net,Fyke 1,7:45,15,19.9,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Released.
FH328,6/9/2017,Four horn sculpin,Myoxocephalus quadricornis,336,Fyke net,Fyke 1,7:45,15,26.5,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Released
S151,6/9/2017,Slimy sculpin,Cottus cognatus cognatus ,150,Fyke net,fyke 1,7:45,15,32.6,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Released
S150,6/9/2017,Slimy sculpin,Cottus cognatus cognatus ,149,Fyke net,fyke 1,7:45,15,36.1,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Released
FH329,6/9/2017,Four horn sculpin,Myoxocephalus quadricornis,337,Fyke net,Fyke 1,7:45,15,48.4,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
S152,6/9/2017,Slimy sculpin,Cottus cognatus cognatus ,151,Fyke net,fyke 1,7:45,15,63.3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Released
S149,6/9/2017,Slimy sculpin,Cottus cognatus cognatus ,148,Fyke net,fyke 1,7:45,15,87.5,18.4,,,,,,,V5,9056/1271531,,,Bob,Erin,8:15,,8:20,8:25,5,,8:33,,,,,,,,Y,Y,,,Y,,Tagged. Released.
FH332,6/9/2017,Four horn sculpin,Myoxocephalus quadricornis,340,Fyke net,Fyke 1,7:45,15,124.4,22.5,,,,,,,V5,9461/1271556,,,Bob,Max,7:46pm,,7:50pm,7:56pm,6,,08:01pm,,,,,,,,Y,,,,Y,,Tagged. Released.
FH331,6/9/2017,Four horn sculpin,Myoxocephalus quadricornis,339,Fyke net,Fyke 1,7:45,15,182.6,28,,,,,,,V5,9053/1271530,,,Karine,Leah,8:28,,8:32,8:37,5,,8:42,,,,,,,,Y,,,,Y,,Tagged. Released.
FH330,6/9/2017,Four horn sculpin,Myoxocephalus quadricornis,338,Fyke net,Fyke 1,7:45,15,197.7,26.5,,,,,,,V5,9465/1271557,,,Karine,Leah,8:15,,8:19,8:24,5,,8:42,,,,,,,,Y,,,,Y,,Tagged. Released.
FH334,7/9/2017,Four horn sculpin,Myoxocephalus quadricornis,342,Fyke net,Fyke 1,8:15,17,17.1,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Released.
S157,7/9/2017,Slimy sculpin,Cottus cognatus cognatus ,156,Fyke net,fyke 1,21:30,18,34.5,13,,,,,,,V5,9299/1271547,,,Karine,Max,9:00pm,,9:03pm,9:08pm,5,,9:20pm,,,,,,,,,,,,Y,,Tagged. Released.
S156,7/9/2017,Slimy sculpin,Cottus cognatus cognatus ,155,Fyke net,fyke 1,21:30,18,35.1,13,,,,,,,V5,9426/1271552,,,Karine,Max,8:50pm,,8:54pm,8:58pm,4,,9:10pm,,,,,,,,,,,,Y,,Tagged. Released.
FH338,7/9/2017,Four horn sculpin,Myoxocephalus quadricornis,346,Fyke net,Fyke 1,19:30,18,39.4,16,,,,,,,V5,9335/1271548,,,Karine,Max,8:20pm,,8:21pm,8:25pm,4,,9:10pm,,,,,,,,Y,,,,,,Tagged. Released.
S154,7/9/2017,Slimy sculpin,Cottus cognatus cognatus ,153,Fyke net,fyke 1,21:30,18,44.6,14.2,,,,,,,V5,9368/1271550,,,Karine,Max,8:29pm,,8:33pm,8:37pm,4,,9:10pm,,,,,,,,,,,,Y,,Tagged. Released.
S155,7/9/2017,Slimy sculpin,Cottus cognatus cognatus ,154,Fyke net,fyke 1,21:30,18,69.3,16,,,,,,,V5,9414/1271551,,,Karine,Max,8:39pm,,8:43pm,8:47pm,4,,9:10pm,,,,,,,,,,,,Y,,Tagged. Released.
S153,7/9/2017,Slimy sculpin,Cottus cognatus cognatus ,152,Fyke net,fyke 1,8:15,19,127.9,20,,,,,,,V5,9451/1271555,,,Karine,Bob,9:23,,9:26,9:30,4,,10:03,,,,,,,,Y,,,,Y,,Tagged. Released.
FH337,7/9/2017,Four horn sculpin,Myoxocephalus quadricornis,345,Fyke net,Fyke 1,8:15,19,133,23.5,,,,,,,V5,9144/1271533,,,Bob,Karine,10:01,,10:05,10:14,9,,10:19,,,,,,,,Y,,,,Y,,Tagged. Released.
FH336,7/9/2017,Four horn sculpin,Myoxocephalus quadricornis,344,Fyke net,Fyke 1,8:15,19,191.4,24,,,,,,,V5,9350/1271549,,,Karine,Leah,9:52,,9:55,10:00,5,,10:19,,,,,,,,Y,,,,Y,,Tagged. Released.
FH335,7/9/2017,Four horn sculpin,Myoxocephalus quadricornis,343,Fyke net,Fyke 1,8:15,19,207.4,27,,,,,,,V5,9024/1271529,,,Karine,Bob,9:35,,9:39,9:45,6,,10:03,,,,,,,,Y,,,,Y,,Tagged. Released.
FH108,8/8/2017,Four horn sculpin,Myoxocephalus quadricornis,108,Fyke net,Fyke 1,19:00,20,17.2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,
FH127,8/8/2017,Four horn sculpin,Myoxocephalus quadricornis,127,Fyke net,Fyke 1,19:00,20,24.6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,
FH121,8/8/2017,Four horn sculpin,Myoxocephalus quadricornis,121,Fyke net,Fyke 1,19:00,20,27,15,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,
FH123,8/8/2017,Four horn sculpin,Myoxocephalus quadricornis,123,Fyke net,Fyke 1,19:00,20,31.8,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,
FH125,8/8/2017,Four horn sculpin,Myoxocephalus quadricornis,125,Fyke net,Fyke 1,19:00,20,37,17,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,
FH107,8/8/2017,Four horn sculpin,Myoxocephalus quadricornis,107,Fyke net,Fyke 1,19:00,20,39.4,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,
FH124,8/8/2017,Four horn sculpin,Myoxocephalus quadricornis,124,Fyke net,Fyke 1,19:00,20,42.9,17,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,
FH122,8/8/2017,Four horn sculpin,Myoxocephalus quadricornis,122,Fyke net,Fyke 1,19:00,20,58.8,19,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,
FH110,8/8/2017,Four horn sculpin,Myoxocephalus quadricornis,110,Fyke net,Fyke 1,19:00,20,60.4,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,
FH111,8/8/2017,Four horn sculpin,Myoxocephalus quadricornis,111,Fyke net,Fyke 1,19:00,20,62.4,19,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,
FH126,8/8/2017,Four horn sculpin,Myoxocephalus quadricornis,126,Fyke net,Fyke 1,19:00,20,65.1,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,
FH109,8/8/2017,Four horn sculpin,Myoxocephalus quadricornis,109,Fyke net,Fyke 1,19:00,20,71.3,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,
FH114,8/8/2017,Four horn sculpin,Myoxocephalus quadricornis,114,Fyke net,Fyke 1,19:00,20,90.6,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,
FH112,8/8/2017,Four horn sculpin,Myoxocephalus quadricornis,112,Fyke net,Fyke 1,19:00,20,94.8,22,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,
FH118,8/8/2017,Four horn sculpin,Myoxocephalus quadricornis,118,Fyke net,Fyke 1,19:00,20,99,22,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,
FH113,8/8/2017,Four horn sculpin,Myoxocephalus quadricornis,113,Fyke net,Fyke 1,19:00,20,107,22,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,
FH120,8/8/2017,Four horn sculpin,Myoxocephalus quadricornis,120,Fyke net,Fyke 1,19:00,20,113,23,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,
FH119,8/8/2017,Four horn sculpin,Myoxocephalus quadricornis,119,Fyke net,Fyke 1,19:00,20,119,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,
FH116,8/8/2017,Four horn sculpin,Myoxocephalus quadricornis,116,Fyke net,Fyke 1,19:00,20,125.7,23,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,
FH115,8/8/2017,Four horn sculpin,Myoxocephalus quadricornis,115,Fyke net,Fyke 1,19:00,20,145.9,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,
FH117,8/8/2017,Four horn sculpin,Myoxocephalus quadricornis,117,Fyke net,Fyke 1,19:00,20,219,24,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,gravid
FH137,9/8/2017,Four horn sculpin,Myoxocephalus quadricornis,137,Fyke net,Fyke 1,19:00,21,26.8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH130,9/8/2017,Four horn sculpin,Myoxocephalus quadricornis,130,Fyke net,Fyke 1,19:00,21,42.2,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH136,9/8/2017,Four horn sculpin,Myoxocephalus quadricornis,136,Fyke net,Fyke 1,19:00,21,55.2,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH133,9/8/2017,Four horn sculpin,Myoxocephalus quadricornis,133,Fyke net,Fyke 1,19:00,21,60.3,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH132,9/8/2017,Four horn sculpin,Myoxocephalus quadricornis,132,Fyke net,Fyke 1,19:00,21,61.4,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH135,9/8/2017,Four horn sculpin,Myoxocephalus quadricornis,135,Fyke net,Fyke 1,19:00,21,69.1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH134,9/8/2017,Four horn sculpin,Myoxocephalus quadricornis,134,Fyke net,Fyke 1,19:00,21,95.3,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH131,9/8/2017,Four horn sculpin,Myoxocephalus quadricornis,131,Fyke net,Fyke 1,19:00,21,99.9,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH139,9/8/2017,Four horn sculpin,Myoxocephalus quadricornis,139,Fyke net,Fyke 1,19:00,21,104.7,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH140,9/8/2017,Four horn sculpin,Myoxocephalus quadricornis,140,Fyke net,Fyke 1,19:00,21,109.5,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH138,9/8/2017,Four horn sculpin,Myoxocephalus quadricornis,138,Fyke net,Fyke 1,19:00,21,134.1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH129,9/8/2017,Four horn sculpin,Myoxocephalus quadricornis,129,Fyke net,Fyke 1,19:00,21,171.5,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S167,9/9/2017,Slimy sculpin,Cottus cognatus cognatus ,166,Fyke net,fyke 1,8:45,22,10.5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,, Released.
FH339,9/9/2017,Four horn sculpin,Myoxocephalus quadricornis,348,Fyke net,Fyke 1,8:45,22,12.5,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Released
S159,9/9/2017,Slimy sculpin,Cottus cognatus cognatus ,158,Fyke net,fyke 1,8:45,22,13.7,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,, Released.
S165,9/9/2017,Slimy sculpin,Cottus cognatus cognatus ,164,Fyke net,fyke 1,8:45,22,15.7,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Released.
S158,9/9/2017,Slimy sculpin,Cottus cognatus cognatus ,157,Fyke net,fyke 1,8:45,22,17.8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Released.
S163,9/9/2017,Slimy sculpin,Cottus cognatus cognatus ,162,Fyke net,fyke 1,8:45,22,20.2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Released.
S160,9/9/2017,Slimy sculpin,Cottus cognatus cognatus ,159,Fyke net,fyke 1,8:45,22,20.5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,, Released.
S162,9/9/2017,Slimy sculpin,Cottus cognatus cognatus ,161,Fyke net,fyke 1,8:45,22,24,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Released.
S166,9/9/2017,Slimy sculpin,Cottus cognatus cognatus ,165,Fyke net,fyke 1,8:45,22,25.1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Released.
S161,9/9/2017,Slimy sculpin,Cottus cognatus cognatus ,160,Fyke net,fyke 1,8:45,22,27.6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,, Released.
S164,9/9/2017,Slimy sculpin,Cottus cognatus cognatus ,163,Fyke net,fyke 1,8:45,22,28.3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Released.
S173,9/9/2017,Slimy sculpin,Cottus cognatus cognatus ,172,Fyke net,fyke 1,8:45,22,34.3,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,, Released.
S168,9/9/2017,Slimy sculpin,Cottus cognatus cognatus ,167,Fyke net,fyke 1,8:45,22,34.4,13.5,,,,,,,V5,9296/1271546,,,Karine,Colleen,9:55,,9:58,10:02,4,,10:50,,,,,,,,Y,,,,Y,,Tagged. Released.
S169,9/9/2017,Slimy sculpin,Cottus cognatus cognatus ,168,Fyke net,fyke 1,8:45,22,35.3,14,,,,,,,V5,9292/1271545,,,Karine,Colleen,10:07,,10:13,10:18,5,,10:50,,,,,,,,Y,,,,Y,,Tagged. Released.
FH128,9/9/2017,Four horn sculpin,Myoxocephalus quadricornis,128,Fyke net,Fyke 1,19:00,23,36.2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S172,9/9/2017,Slimy sculpin,Cottus cognatus cognatus ,171,Fyke net,fyke 1,8:45,22,41.7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Released.
S171,9/9/2017,Slimy sculpin,Cottus cognatus cognatus ,170,Fyke net,fyke 1,8:45,22,44,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Released.
S174,9/9/2017,Slimy sculpin,Cottus cognatus cognatus ,173,Fyke net,fyke 1,8:45,22,46.6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,, Released.
S170,9/9/2017,Slimy sculpin,Cottus cognatus cognatus ,169,Fyke net,fyke 1,8:45,22,51.2,14.5,,,,,,,V5,9252/1271540,,,Karine,Colleen,10:34,,10:37,10:41,4,,10:50,,,,,,,,Y,,,,Y,,Tagged. Released.
FH341,9/9/2017,Four horn sculpin,Myoxocephalus quadricornis,350,Fyke net,Fyke 1,8:45,22,86.3,21.5,,,,,,,V5,9229/1271539,,,Karine,Colleen,10:21,,10:25,10:30,5,,10:50,,,,,,,,Y,,,,Y,,Tagged. Released.
FH340,9/9/2017,Four horn sculpin,Myoxocephalus quadricornis,349,Fyke net,Fyke 1,8:45,22,148.3,25,,,,,,,V5,9273/1271544,,,Karine,Colleen,9:43,,9:46,9:51,5,,10:50,,,,,,,,Y,,,,Y,,Tagged. Released.
FH150,10/8/2017,Four horn sculpin,Myoxocephalus quadricornis,150,Fyke net,Fyke 1,9:00,24,32.3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
FH148,10/8/2017,Four horn sculpin,Myoxocephalus quadricornis,148,Fyke net,Fyke 1,9:00,24,33.1,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
FH165,10/8/2017,Four horn sculpin,Myoxocephalus quadricornis,165,Fyke net,Fyke 1,20:15,25,37.2,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
FH152,10/8/2017,Four horn sculpin,Myoxocephalus quadricornis,152,Fyke net,Fyke 1,9:00,24,37.5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
FH149,10/8/2017,Four horn sculpin,Myoxocephalus quadricornis,149,Fyke net,Fyke 1,9:00,24,45.6,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
FH163,10/8/2017,Four horn sculpin,Myoxocephalus quadricornis,163,Fyke net,Fyke 1,20:15,25,63.2,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
