Date,Species,Floy_Num,Fish_ID,TL,SL,Mass,Sex,Tag_ID,Tag_SN,Tag_Type,Anestheisa,Tag_Start,Tag_Stop,Recovery,Release,Comments
8/12/19,4horn,03014,MS021,25.20,22.80,98.80,,18148,1325918,V9,8:00,8:05,8:11,8:16,8:40,Sex unknown without dissection
8/14/19,4horn,03021,MS022,22.00,19.30,93.80,,18149,1325919,V9,8:20,8:24,8:28,8:29,8:54,Sex unknown without dissection
8/14/19,4horn,03022,MS023,20.40,17.20,65.30,,18150,1325920,V9,19:45,19:49,19:53,19:54,21:28,Sex unknown without dissection
8/15/19,4horn,03287,MS024,29.00,20.20,110.10,F,8048,1325910,V9PA,23:30,23:35,23:41,23:41,0:34,Starting calling orange bellies and red gills as males
8/15/19,4horn,03286,MS025,19.60,15.20,58.70,,18147,1325917,V9,23:42,23:47,23:51,23:51,0:34,
8/16/19,4horn,03275,MS026,24.70,20.50,142.20,M,8046,1325909,V9PA,16:36,16:39,16:43,16:44,19:08,Red gills and orange bellies; changed sex determinaion after the fact upon further investigation
8/16/19,4horn,03274,MS027,17.30,14.40,38.60,F,18146,1325916,V9,16:47,16:51,16:55,16:55,19:08,
8/17/19,4horn,03267,MS028,26.80,23.00,179.30,F,8044,1325908,V9PA,23:48,23:52,23:56,23:57,0:35,
8/17/19,4horn,03266,MS029,23.00,19.80,110.00,F,8042,1325907,V9PA,23:59,0:03,0:09,0:09,0:35,
8/18/19,4horn,03265,MS030,16.60,14.30,34.70,M,18145,1325915,V9,15:57,15:59,16:04,16:04,16:28,
8/19/19,Slimy,03264,MS031,18.70,15.80,80.70,,8030,1325901,V9PA,1:10,1:16,1:21,1:21,2:02,Respo 1; don't know how to sex slimy
8/20/19,Slimy,03263,MS032,17.10,14.40,58.90,,18144,1325914,V9,16:08,16:14,16:17,16:18,17:25,Respo 2; don't know how to sex slimy
8/20/19,4horn,03262,MS033,19.10,16.40,52.90,F,18143,1325913,V9,16:49,16:54,16:59,17:00,17:25,Respo 3
8/20/19,4horn,03261,MS034,23.50,20.30,90.90,M,8038,1325905,V9PA,18:42,18:47,18:51,18:52,19:15,Respo 4
8/21/19,4horn,03258,MS035,16.80,14.00,34.30,F,18142,1325912,V9,1:34,1:39,1:43,1:44,2:02,Respo 6
8/21/19,4horn,03256,MS036,19.00,16.20,52.80,F,8036,1325904,V9PA,21:46,21:52,21:57,21:57,23:46,Respo 8
8/21/19,4horn,03259,MS037,15.90,13.40,28.90,M,18141,1325911,V9,21:58,22:04,22:07,22:07,23:46,Respo 7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA